observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
218,Beijing_Zang_sub46259,-1.047611461331151,-1.3262911981689696,-3.3704953374782525,-0.8819439051178486,-1.283050226020175
219,Beijing_Zang_sub46541,-0.878086232683407,-0.884525498913076,-1.0992787558395203,-1.0539489371235686,-1.0322700138252303
220,Beijing_Zang_sub48501,-1.044518873689975,-0.8788042642625262,-1.1165337060526472,-0.8127911773197816,-4.19443774741234
221,Beijing_Zang_sub48563,-0.8306850899368572,-1.4329075105700737,-0.6749938159963181,-0.8730886275653944,-0.9866766753014972
223,Beijing_Zang_sub49782,-1.1666299372230835,-1.4212668455396975,-0.6984996511170524,-1.1811171534107054,-0.9154623819809188
224,Beijing_Zang_sub50498,-1.0720385478631644,-3.213486459971306,-0.6558254381562758,-0.8132992598523633,-0.9021415965162655
226,Beijing_Zang_sub50972,-1.562958274021529,-1.6512606581426787,-3.128096333432606,-1.0126580918965578,-1.3069828227828073
227,Beijing_Zang_sub50985,-0.9163299764388535,-1.231421534691813,-0.6777813046712633,-2.897804409768369,-2.6723232609194705
230,Beijing_Zang_sub52044,-0.9496744814139818,-1.1930881381332714,-0.7183425516674449,-1.1252125784337028,-1.761681672608055
231,Beijing_Zang_sub52259,-1.3854928350409148,-0.8441463226948436,-0.690061164070351,-0.8257316573148744,-1.1095093271129912
233,Beijing_Zang_sub53998,-0.8144605876506666,-3.1384773291014327,-0.7357682719345985,-0.8892900161637111,-1.3848698089647429
234,Beijing_Zang_sub54890,-0.9759119546729336,-0.8399521957577196,-0.7568902707447371,-0.9666868150815323,-0.8164867106362859
235,Beijing_Zang_sub55301,-1.6855935200739334,-1.3530560028010181,-2.75801719363543,-1.7619034269293674,-1.217906585089535
236,Beijing_Zang_sub55541,-0.7883151794919926,-2.143538531758287,-1.755827003857363,-0.840240488134331,-0.7988167572321972
237,Beijing_Zang_sub55736,-0.7991318870102341,-1.5761467035244277,-1.2314539651366323,-1.3352990953025146,-1.887481929586811
238,Beijing_Zang_sub55856,-0.8147923403417136,-1.0947746328709218,-0.6877031552499933,-0.9082073270719122,-0.8719911825798488
239,Beijing_Zang_sub56136,-1.8162569724877446,-0.8503004950679348,-0.7130397991825033,-2.243489674206485,-0.9838810195668628
240,Beijing_Zang_sub56659,-1.5198988684138963,-2.5816451969317633,-0.680579988742188,-0.8087631926518103,-0.8363676953515882
241,Beijing_Zang_sub56703,-0.8375303539059494,-0.8432263153922936,-0.6579517603662229,-1.3129403898584133,-0.8158012593655735
